id,student_id,assessment_id,cycle,subject,level,score,assessed_at,updated_by,action,previous_data,created_at,updated_at
1,1,1,baseline,khmer,Beginner,42,2025-01-17,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
2,1,2,baseline,math,Beginner,31,2025-01-17,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
3,1,3,midline,khmer,Letter,55.7,2025-05-12,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
4,1,4,midline,math,1-Digit,60,2025-05-12,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
5,1,5,endline,khmer,Word,70.3,2025-08-22,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
6,1,6,endline,math,2-Digit,70,2025-08-22,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
7,2,7,baseline,khmer,Beginner,49,2025-01-11,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
8,2,8,baseline,math,Beginner,45,2025-01-11,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
9,2,9,midline,khmer,Letter,54.7,2025-05-08,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
10,2,10,midline,math,1-Digit,61,2025-05-08,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
11,2,11,endline,khmer,Word,68.3,2025-08-23,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
12,2,12,endline,math,2-Digit,80,2025-08-23,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
13,3,13,baseline,khmer,Beginner,34,2025-01-12,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
14,3,14,baseline,math,1-Digit,50,2025-01-12,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
15,3,15,midline,khmer,Letter,61.7,2025-05-04,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
16,3,16,midline,math,2-Digit,70,2025-05-04,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
17,3,17,endline,khmer,Word,76.3,2025-08-24,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
18,3,18,endline,math,Subtraction,93,2025-08-24,,created,,2025-09-04 07:49:37,2025-09-04 07:49:37
937,105,601,baseline,khmer,Letters,19,2024-10-04,5,created,,2025-09-04 09:03:01,2025-09-04 09:03:01
938,105,602,baseline,math,Nothing,3,2025-03-04,5,created,,2025-09-04 09:03:01,2025-09-04 09:03:01
939,105,603,midline,khmer,Letters,25,2025-06-04,5,created,,2025-09-04 09:03:01,2025-09-04 09:03:01
940,105,604,midline,math,Addition,29,2025-05-04,5,created,,2025-09-04 09:03:01,2025-09-04 09:03:01
941,105,605,endline,khmer,Paragraph,46,2025-09-04,5,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
942,105,606,endline,math,Numbers,22,2025-09-04,5,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
25,5,25,baseline,khmer,Letter,49.7,2025-01-08,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
26,5,26,baseline,math,1-Digit,53,2025-01-08,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
27,5,27,midline,khmer,Word,53.3,2025-05-13,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
28,5,28,midline,math,2-Digit,56,2025-05-13,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
29,5,29,endline,khmer,Paragraph,75,2025-09-03,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
30,5,30,endline,math,Subtraction,89,2025-09-03,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
943,106,607,baseline,khmer,Words,36,2024-09-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
944,106,608,baseline,math,Numbers,23,2025-01-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
945,106,609,midline,khmer,Letters,22,2025-04-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
946,106,610,midline,math,Addition,26,2025-04-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
947,106,611,endline,khmer,Words,28,2025-09-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
948,106,612,endline,math,Numbers,21,2025-09-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
37,7,37,baseline,khmer,Letter,52.7,2025-01-09,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
38,7,38,baseline,math,2-Digit,48,2025-01-09,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
39,7,39,midline,khmer,Word,71.3,2025-05-13,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
40,7,40,midline,math,Subtraction,64,2025-05-13,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
41,7,41,endline,khmer,Paragraph,88,2025-08-30,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
42,7,42,endline,math,Division,89,2025-08-30,,created,,2025-09-04 07:49:38,2025-09-04 07:49:38
949,107,613,baseline,khmer,Letters,21,2024-10-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
950,107,614,baseline,math,Nothing,0,2024-10-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
951,107,615,midline,khmer,Words,31,2025-03-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
952,107,616,midline,math,Addition,40,2025-03-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
953,107,617,endline,khmer,Words,36,2025-07-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
954,107,618,endline,math,Multiplication,60,2025-09-04,10,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
49,9,49,baseline,khmer,Word,62.3,2025-01-08,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
50,9,50,baseline,math,Subtraction,67,2025-01-08,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
51,9,51,midline,khmer,Paragraph,74,2025-05-18,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
52,9,52,midline,math,Division,81,2025-05-18,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
53,9,53,endline,khmer,Story,94.7,2025-08-23,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
54,9,54,endline,math,Word Problem,90,2025-08-23,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
955,108,619,baseline,khmer,Nothing,10,2025-03-04,5,created,,2025-09-04 09:03:02,2025-09-04 09:03:02
956,108,620,baseline,math,Nothing,10,2024-10-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
957,108,621,midline,khmer,Words,31,2025-06-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
958,108,622,midline,math,Addition,30,2025-06-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
61,11,61,baseline,khmer,Paragraph,51,2025-01-18,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
62,11,62,baseline,math,Division,78,2025-01-18,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
63,11,63,midline,khmer,Story,82.7,2025-05-09,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
64,11,64,midline,math,Word Problem,81,2025-05-09,,created,,2025-09-04 07:49:39,2025-09-04 07:49:39
65,11,65,endline,khmer,Comp 1,88.3,2025-09-04,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
66,11,66,endline,math,Word Problem,99,2025-09-04,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
959,108,623,endline,khmer,Story,61,2025-07-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
960,108,624,endline,math,Subtraction,54,2025-08-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
961,109,625,baseline,khmer,Nothing,1,2024-10-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
962,109,626,baseline,math,Numbers,23,2024-11-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
963,109,627,midline,khmer,Letters,11,2025-04-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
964,109,628,midline,math,Subtraction,46,2025-04-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
73,13,73,baseline,khmer,Story,68.7,2025-01-13,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
74,13,74,baseline,math,Word Problem,86,2025-01-13,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
75,13,75,midline,khmer,Comp 1,80.3,2025-05-04,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
76,13,76,midline,math,Word Problem,96,2025-05-04,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
77,13,77,endline,khmer,Comp 2,100,2025-08-28,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
78,13,78,endline,math,Word Problem,98,2025-08-28,,created,,2025-09-04 07:49:40,2025-09-04 07:49:40
965,109,629,endline,khmer,Story,61,2025-07-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
966,109,630,endline,math,Numbers,21,2025-09-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
967,110,631,baseline,khmer,Words,27,2024-11-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
968,110,632,baseline,math,Addition,36,2024-12-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
969,110,633,midline,khmer,Paragraph,56,2025-03-04,5,created,,2025-09-04 09:03:03,2025-09-04 09:03:03
970,110,634,midline,math,Subtraction,41,2025-04-04,5,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
85,15,85,baseline,khmer,Comp 1,74.3,2025-01-11,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
86,15,86,baseline,math,Beginner,32,2025-01-11,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
87,15,87,midline,khmer,Comp 2,98,2025-05-14,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
88,15,88,midline,math,1-Digit,48,2025-05-14,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
89,15,89,endline,khmer,Comp 2,100,2025-08-26,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
90,15,90,endline,math,2-Digit,71,2025-08-26,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
971,110,635,endline,khmer,Story,65,2025-06-04,5,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
972,110,636,endline,math,Addition,27,2025-08-04,5,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
973,111,637,baseline,khmer,Words,37,2025-02-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
974,111,638,baseline,math,Addition,31,2025-02-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
975,111,639,midline,khmer,Paragraph,42,2025-05-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
976,111,640,midline,math,Numbers,16,2025-04-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
97,17,97,baseline,khmer,Beginner,48,2025-01-08,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
98,17,98,baseline,math,1-Digit,43,2025-01-08,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
99,17,99,midline,khmer,Letter,47.7,2025-05-09,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
100,17,100,midline,math,2-Digit,67,2025-05-09,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
101,17,101,endline,khmer,Word,63.3,2025-09-04,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
102,17,102,endline,math,Subtraction,89,2025-09-04,,created,,2025-09-04 07:49:41,2025-09-04 07:49:41
977,111,641,endline,khmer,Comp. 2,90,2025-09-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
978,111,642,endline,math,Subtraction,43,2025-08-04,10,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
979,112,643,baseline,khmer,Nothing,5,2025-01-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
980,112,644,baseline,math,Numbers,12,2024-11-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
981,112,645,midline,khmer,Paragraph,40,2025-05-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
982,112,646,midline,math,Nothing,5,2025-03-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
109,19,109,baseline,khmer,Beginner,42,2025-01-04,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
110,19,110,baseline,math,2-Digit,59,2025-01-04,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
111,19,111,midline,khmer,Letter,49.7,2025-05-16,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
112,19,112,midline,math,Subtraction,78,2025-05-16,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
113,19,113,endline,khmer,Word,64.3,2025-09-01,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
114,19,114,endline,math,Division,82,2025-09-01,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
115,20,115,baseline,khmer,Letter,36.7,2025-01-16,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
116,20,116,baseline,math,2-Digit,48,2025-01-16,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
117,20,117,midline,khmer,Word,65.3,2025-05-08,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
118,20,118,midline,math,Subtraction,68,2025-05-08,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
119,20,119,endline,khmer,Paragraph,89,2025-09-01,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
120,20,120,endline,math,Division,91,2025-09-01,,created,,2025-09-04 07:49:42,2025-09-04 07:49:42
983,112,647,endline,khmer,Paragraph,43,2025-09-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
984,112,648,endline,math,Multiplication,67,2025-08-04,9,created,,2025-09-04 09:03:04,2025-09-04 09:03:04
985,113,649,baseline,khmer,Letters,19,2024-12-04,5,created,,2025-09-04 09:03:05,2025-09-04 09:03:05
986,113,650,baseline,math,Numbers,25,2024-10-04,5,created,,2025-09-04 09:03:05,2025-09-04 09:03:05
987,113,651,midline,khmer,Paragraph,57,2025-03-04,5,created,,2025-09-04 09:03:05,2025-09-04 09:03:05
