id,key,km,en,group,description,is_active,created_at,updated_at
1,app_name,គម្រោង TaRL,TaRL Project,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
2,welcome,សូមស្វាគមន៍,Welcome,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
4,home,ទំព័រដើម,Home,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
6,save,រក្សាទុក,Save,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
7,cancel,បោះបង់,Cancel,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
8,delete,លុប,Delete,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
9,edit,កែសម្រួល,Edit,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
10,view,មើល,View,general,,t,2025-09-04 07:54:31,2025-09-04 07:54:31
11,create,បង្កើត,Create,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
12,update,ធ្វើបច្ចុប្បន្នភាព,Update,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
13,search,ស្វែងរក,Search,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
14,filter,ត្រង,Filter,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
15,export,នាំចេញ,Export,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
16,import,នាំចូល,Import,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
17,download,ទាញយក,Download,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
18,upload,ផ្ទុកឡើង,Upload,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
19,submit,ដាក់ស្នើ,Submit,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
20,confirm,បញ្ជាក់,Confirm,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
21,yes,បាទ/ចាស,Yes,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
22,no,ទេ,No,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
23,all,ទាំងអស់,All,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
24,none,គ្មាន,None,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
27,no_data,មិនមានទិន្នន័យ,No data available,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
28,showing,កំពុងបង្ហាញ,Showing,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
29,to,ដល់,to,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
30,of,នៃ,of,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
31,entries,ធាតុ,entries,general,,t,2025-09-04 07:54:32,2025-09-04 07:54:32
35,teachers,គ្រូបង្រៀន,Teachers,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
36,mentors,អ្នកណែនាំ,Mentors,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
37,users,អ្នកប្រើប្រាស់,Users,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
39,mentoring_visits,ការចុះណែនាំ,Mentoring Visits,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
40,reports,របាយការណ៍,Reports,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
42,help,ជំនួយ,Help,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
43,profile,ប្រវត្តិរូប,Profile,navigation,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
47,user_management,ការគ្រប់គ្រងអ្នកប្រើប្រាស់,User Management,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
48,add_user,បន្ថែមអ្នកប្រើប្រាស់,Add User,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
49,edit_user,កែសម្រួលអ្នកប្រើប្រាស់,Edit User,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
50,user_details,ព័ត៌មានអ្នកប្រើប្រាស់,User Details,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
53,password,ពាក្យសម្ងាត់,Password,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
54,role,តួនាទី,Role,users,,t,2025-09-04 07:54:33,2025-09-04 07:54:33
58,inactive,អសកម្ម,Inactive,users,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
64,school_management,ការគ្រប់គ្រងសាលារៀន,School Management,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
65,add_school,បន្ថែមសាលារៀន,Add School,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
66,edit_school,កែសម្រួលសាលារៀន,Edit School,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
67,school_details,ព័ត៌មានសាលារៀន,School Details,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
68,school_name,ឈ្មោះសាលា,School Name,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
69,school_code,លេខកូដសាលា,School Code,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
59,admin,អ្នកគ្រប់គ្រង,Admin,role,,t,2025-09-04 07:54:34,2025-09-04 07:54:59
62,teacher,គ្រូបង្រៀន,Teacher,role,,t,2025-09-04 07:54:34,2025-09-04 07:54:59
61,mentor,អ្នកណែនាំ,Mentor,role,,t,2025-09-04 07:54:34,2025-09-04 07:54:59
60,coordinator,អ្នកសម្របសម្រួល,Coordinator,role,,t,2025-09-04 07:54:34,2025-09-04 07:54:59
63,viewer,អ្នកមើល,Viewer,role,,t,2025-09-04 07:54:34,2025-09-04 07:54:59
5,back,ត្រឡប់,Back,general,,t,2025-09-04 07:54:31,2025-09-04 07:55:00
41,settings,ការកំណត់,Settings,general,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
44,logout,ចាកចេញ,Logout,general,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
45,login,ចូល,Login,general,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
46,register,ចុះឈ្មោះ,Register,general,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
26,loading,កំពុងផ្ទុក...,Loading...,status,,t,2025-09-04 07:54:32,2025-09-04 07:55:00
51,name,ឈ្មោះ,Name,table,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
52,email,អ៊ីមែល,Email,table,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
55,phone,ទូរស័ព្ទ,Phone,table,,t,2025-09-04 07:54:34,2025-09-04 07:55:00
32,actions,សកម្មភាព,Actions,table,,t,2025-09-04 07:54:33,2025-09-04 07:55:00
25,select,ជ្រើសរើស,Select,form,,t,2025-09-04 07:54:32,2025-09-04 07:55:01
33,schools,សាលា,Schools,dashboard,,t,2025-09-04 07:54:33,2025-09-04 07:55:02
38,assessments,ការវាយតម្លៃ,Assessments,assessment,,t,2025-09-04 07:54:33,2025-09-04 07:55:04
56,status,ស្ថានភាព,Status,general,,t,2025-09-04 07:54:34,2025-09-04 07:55:05
57,active,សកម្ម,Active,general,,t,2025-09-04 07:54:34,2025-09-04 07:55:05
34,students,សិស្ស,students,dashboard,,t,2025-09-04 07:54:33,2025-09-04 07:55:09
75,contact_person,អ្នកទំនាក់ទំនង,Contact Person,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
77,all_provinces,ខេត្តទាំងអស់,All Provinces,schools,,t,2025-09-04 07:54:34,2025-09-04 07:54:34
78,all_districts,ស្រុកទាំងអស់,All Districts,schools,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
79,student_management,ការគ្រប់គ្រងសិស្ស,Student Management,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
80,add_student,បន្ថែមសិស្ស,Add Student,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
81,edit_student,កែសម្រួលសិស្ស,Edit Student,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
82,student_details,ព័ត៌មានសិស្ស,Student Details,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
83,student_code,លេខកូដសិស្ស,Student Code,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
91,age,អាយុ,Age,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
93,class,ថ្នាក់រៀន,Class,students,,t,2025-09-04 07:54:35,2025-09-04 07:54:35
94,parent_name,ឈ្មោះឪពុកម្តាយ,Parent Name,students,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
95,parent_phone,ទូរស័ព្ទឪពុកម្តាយ,Parent Phone,students,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
96,photo,រូបថត,Photo,students,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
97,assessment_management,ការគ្រប់គ្រងការវាយតម្លៃ,Assessment Management,assessments,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
98,create_assessment,បង្កើតការវាយតម្លៃ,Create Assessment,assessments,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
99,edit_assessment,កែសម្រួលការវាយតម្លៃ,Edit Assessment,assessments,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
100,assessment_details,ព័ត៌មានការវាយតម្លៃ,Assessment Details,assessments,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
104,assessment_type,ប្រភេទការវាយតម្លៃ,Assessment Type,assessments,,t,2025-09-04 07:54:36,2025-09-04 07:54:36
111,sentence,ប្រយោគ,Sentence,assessments,,t,2025-09-04 07:54:37,2025-09-04 07:54:37
114,score,ពិន្ទុ,Score,assessments,,t,2025-09-04 07:54:37,2025-09-04 07:54:37
115,assessment_date,កាលបរិច្ឆេទវាយតម្លៃ,Assessment Date,assessments,,t,2025-09-04 07:54:37,2025-09-04 07:54:37
