"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"56","សាលាបឋមសិក្សាដីឥដ្ឋ","8020302005",,"599","83","5","3","56","1",,,,,,,,,,,,,"11.17639478433199","104.6197445180879","5"
"65","សាលាបឋមសិក្សារទាំង","8020803024",,"603","83","5","3","65","1",,,,,,,,,,,,,"11.55893764958948","104.496320536351","5"
"94","សាលាបឋមសិក្សាជ័យមង្គល","8030201004",,"606","84","5","3","94","1",,,,,,,,,,,,,"11.67339385641347","104.3927201199843","5"
"166","សាលាបឋមសិក្សាហ៊ុនសែនព្រៃគោល","8090109019",,"673","90","5","3","166","1",,,,,,,,,,,,,"11.52996648376965","104.6645313417848","5"
"234","សាលាបឋមសិក្សាកោះរះក្រោម","8060502009",,"645","87","5","3","234","1",,,,,,,,,,,,,"11.51976934897568","104.4244209148455","5"
"288","សាលាបឋមសិក្សាហ៊ុនសែនភ្នំធនមន្ត","8100807050",,"690","91","5","3","288","1",,,,,,,,,,,,,"11.44634914976483","104.0904637030168","5"
"241","សាលាបឋមសិក្សាព្រែកជ្រៃ","8061102017",,"651","87","5","3","241","1",,,,,,,,,,,,,"11.4641904967789","104.2730854831798","5"
"328","សាលាបឋមសិក្សាបួរគ្រី","8080701028",,"666","89","5","3","328","1",,,,,,,,,,,,,"11.60077574238676","104.3486708273947","5"
"373","សាលាបឋមសិក្សាស្វាយអណ្តែត","8061303024",,"1665","209","5","3","373","1",,,,,,,,,,,,,"11.4464959267856","104.469450113703","5"
"378","សាលាបឋមសិក្សាពោធិ៍ធំ","8060103002",,"1664","209","5","3","378","1",,,,,,,,,,,,,"11.18577853292018","104.4104655880046","5"
"342","សាលាបឋមសិក្សាទួលសាលា","8081323020",,"670","89","5","3","342","1",,,,,,,,,,,,,"11.65741289199421","104.3742851402533","5"
"491","សាលាបឋមសិក្សាភ្នំស្រឡៅ","9060407015",,"441","65","7","2","491","1",,,,,,,,,,,,,"10.68096611329149","104.1971389432548","7"
"500","សាលាបឋមសិក្សាត្រពាំងពាប","9060504055",,"442","65","7","2","500","1",,,,,,,,,,,,,"10.59513686427046","103.9854386352925","7"
"558","សាលាបឋមសិក្សាម្រើម","10060306013",,"1070","137","10","4","558","1",,,,,,,,,,,,,"12.36660852793721","106.3300246859675","10"
"585","សាលាបឋមសិក្សាព្រែកតាអាំ","10060106005",,"1068","137","10","4","585","1",,,,,,,,,,,,,"13.13489594960264","106.2394690036109","10"
"577","សាលាបឋមសិក្សាប្អៀរ","10061005054",,"1077","137","10","4","577","1",,,,,,,,,,,,,"13.36985471073297","106.6392612941246","10"
"699","សាលាបឋមសិក្សាជួរក្រាង","10050109042",,"1062","136","10","4","699","1",,,,,,,,,,,,,"12.09549383760201","106.0749680923203","10"
"651","សាលាបឋមសិក្សាក្រហមកលើ","10030801035",,"1050","134","10","4","651","1",,,,,,,,,,,,,"13.26780649392735","106.6030004481188","10"
"615","សាលាបឋមសិក្សាបល្ល័ង្គ","10010208033",,"1031","132","10","4","615","1",,,,,,,,,,,,,"12.99514573803959","106.2002760087658","10"
"757","សាលាបឋមសិក្សាកំពង់ក្របី","10040203005",,"1052","135","10","4","757","1",,,,,,,,,,,,,"12.63291512956222","106.3140854822347","10"
"770","សាលាបឋមសិក្សាព្រែកគ្រៀង","10041002032",,"1060","135","10","4","770","1",,,,,,,,,,,,,"12.75080385738058","106.5832110339541","10"
"784","សាលាបឋមសិក្សាស្រែត្រែង២","10070105037",,"1669","210","10","4","784","1",,,,,,,,,,,,,"13.02404218833754","106.3438564029238","10"
"754","សាលាបឋមសិក្សាកំពង់ព្នៅ","10040403040",,"1054","135","10","4","754","1",,,,,,,,,,,,,"12.28586107971274","106.4768903804648","10"
"861","សាលាបឋមសិក្សាប៉ាក់ណាម","3080707027",,"987","128","8","4","861","1",,,,,,,,,,,,,"11.37586704690647","104.7871771465718","8"
"877","សាលាបឋមសិក្សាមហាលាភ","3080402015",,"984","128","8","4","877","1",,,,,,,,,,,,,"11.32490799749599","104.8373295566155","8"
"857","សាលាបឋមសិក្សាវត្តទីប្រជុំ","3080208034",,"982","128","8","4","857","1",,,,,,,,,,,,,"11.47814254541643","104.7870780852181","8"
"995","សាលាបឋមសិក្សាទំពរ","3031005036",,"950","124","8","4","995","1",,,,,,,,,,,,,"11.57978421120539","105.1651176330183","8"
"1088","សាលាបឋមសិក្សាព្រៃស្រឡៅ","3131504060",,"1003","129","8","4","1088","1",,,,,,,,,,,,,"11.72908377774527","104.8627970087303","8"
"1027","សាលាបឋមសិក្សាជាលា","3010301010",,"923","122","8","4","1027","1",,,,,,,,,,,,,"11.32649426008133","105.0341952714207","8"
"1149","សាលាបឋមសិក្សារោងចក្រ","3151024039",,"1026","131","8","4","1149","1",,,,,,,,,,,,,"11.41499873137837","104.9666077743584","8"
"1163","សាលាបឋមសិក្សាភូមិទ័ព","3151207056",,"1027","131","8","4","1163","1",,,,,,,,,,,,,"11.66069087162916","105.0573842013751","8"
"1216","សាលាបឋមសិក្សាអារញ្ញ","4030201002",,"166","34","4","1","1216","1",,,,,,,,,,,,,"12.39501973810971","104.4030163246448","4"
"1282","សាលាបឋមសិក្សាត្របែក","4040902022",,"177","28","4","1","1282","1",,,,,,,,,,,,,"12.07545029106737","104.4945226736741","4"
"1284","សាលាបឋមសិក្សាវត្តភ្នំ","4040907024",,"177","28","4","1","1284","1",,,,,,,,,,,,,"12.01388223120279","104.8180963228666","4"
"1335","សាលាបឋមសិក្សាភ្នំតាសាំ","4080603009",,"216","32","4","1","1335","1",,,,,,,,,,,,,"12.37946509908542","104.4923905869209","4"
"1359","សាលាបឋមសិក្សារលុង","4080807034",,"218","32","4","1","1359","1",,,,,,,,,,,,,"12.34090945255505","104.3972832066006","4"
"1362","សាលាបឋមសិក្សាប៊ុនរ៉ានីហ៊ុនសែនរមាស","4080101001",,"211","32","4","1","1362","1",,,,,,,,,,,,,"12.04990762497945","104.695353129419","4"
"1329","សាលាបឋមសិក្សាក្រសាំងដុះឡើង","4080401020",,"214","32","4","1","1329","1",,,,,,,,,,,,,"12.01188594923735","104.4822363794188","4"
